,Movie,Rating,Released,Director,Writer1,Writer2,Star1,Star2,MovieRating,RunTime,Synopsis,PopularityScore
0,Halloween,7.7,1978,John Carpenter,John Carpenter,Debra Hill,Donald Pleasence,Jamie Lee Curtis,R,1h 31m,"The year is 1963, the night: Halloween. Police are called to 43 Lampkin Ln. only to discover that 15-year-old Judith Myers has been stabbed to death by her 6-year-old brother, Michael. After being institutionalized for 15 years, Myers breaks out on the night before Halloween. No one knows, nor wants to find out, what will happen on October 31st 1978, besides Myers' psychiatrist, Dr. Loomis. He knows Michael is coming back to Haddonfield, but by the time the town realizes it, it'll be too late for many people",288
1,The Texas Chain Saw Massacre,7.4,1974,Tobe Hooper,Kim Henkel,Tobe Hooper,Marilyn Burns,Edwin Neal,R,1h 23m,"En route to visit their grandfather's grave (which has apparently been ritualistically desecrated), five teenagers drive past a slaughterhouse, pick up (and quickly drop) a sinister hitch-hiker, eat some delicious home-cured meat at a roadside gas station, before ending up at the old family home... where they're plunged into a never-ending nightmare as they meet a family of cannibals who more than make up in power tools what they lack in social skills",447
2,The Evil Dead,7.4,1981,Sam Raimi,Sam Raimi,,Bruce Campbell,Ellen Sandweiss,NC-17,1h 25m,"Five college students take time off to spend a peaceful vacation in a remote cabin. A book and audio tape are discovered, and its evil is found to be powerful once the incantations are read out loud. The friends find themselves helpless to stop the evil as it takes them one by one, with only one survivor left with the evil dead who desperately tries to fight to live until morning. —Miss Murder",652
3,Tremors,7.2,1990,Ron Underwood,S.S. Wilson,Brent Maddock,Kevin Bacon,Fred Ward,PG-13,1h 36m,"A small town gradually becomes aware of a strange creature which picks off people one by one. But what is this creature, and where is it? At the same time, a seismologist is working in the area, she detects _tremors_. The creature lives underground, and can 'pop up' without warning. Trapped in their town, the town-folk have no escape. —Rob Hartill",711
4,Friday the 13th,6.4,1980,Sean S. Cunningham,Victor Miller,Ron Kurz,Betsy Palmer,Adrienne King,R,1h 35m,"In 1957, a young boy named Jason drowns in a lake near Camp Crystal Lake. The next year, two counselors are murdered. In 1980, a descendant of the original owners reopens Camp Crystal Lake with some counselors' help. The counselors gets killed one by one by a mysterious person. Could it be Jason, out for revenge? —RedJames99",787
5,The Blair Witch Project,6.5,1999,Daniel Myrick,Daniel Myrick,Eduardo Sanchez,Heather Donahue,Michael C. Williams,R,1h 21m,"In search of a local legend, three bold amateur documentarians--director, Heather; cameraman, Josh; sound recorder, Mike--hike into Burkittsville's gloomy Black Hills Forest to find a shadow: the fabled Blair Witch. Now, one long year later--after that fateful October of 1994--there's still no sign of the student filmmakers, apart from the raw footage they left behind. Who knows what truly happened during their creepy five-day journey into the mouth of madness? Was there, indeed, an intangible supernatural presence in the dark woods that led to the team's disappearance? Either way, the missing trio must have seen something. Could the nightmarish myth be real? —Nick Riganas","1,400"
6,Sleepaway Camp,6.2,1983,Robert Hiltzik,Robert Hiltzik,,Felissa Rose,Jonathan Tiersten,R,1h 24m,"After a horrible boating accident kills her family, shy, sullen Angela moves in with her eccentric Aunt Martha and protective cousin Ricky. One summer, Martha sends the kids to Camp Arawak. Soon after their arrival, bizarre, increasingly violent accidents claim the lives of various campers. Who is the twisted individual behind these murders? The disclosure of the murderer's identity is one of the most shocking climaxes in the history of American cinema. —Drew","1,465"
7,Killer Klowns from Outer Space,6.2,1988,Stephen Chiodo,Charles Chiodo,Stephen Chiodo,Grant Cramer,Suzanne Snyder,PG-13,1h 28m,"When a small town is invaded by aliens from outer space who are capturing and killing the townspeople, no one takes them seriously. Why? The aliens all look like circus clowns, use weapons that look clown like, and all have painted on smiles. Only a few of the young people in the town realize the danger and of course no one believes them. Armed with an ice cream truck they try and rescue their friends. —John Vogel <jlvogel@comcast.net>","1,700"
8,Night of the Living Dead,7.8,1968,George A. Romero,John A. Russo,George A. Romero,Duane Jones,Judith O'Dea,R,1h 36m,"Barbra and Johnny visit their father's grave in a remote cemetery when they are suddenly set upon by zombies. Barbra manages to get away and takes refuge in what seems to be an abandoned farm house. She is soon joined by Ben who stopped at the house in need of gas. Beset by the walking dead all around them Ben does his best to secure the doors and windows. The news reports are grim however with creatures returning to life everywhere. Barbra and Ben are surprised when they realize there are 5 people hiding out in the basement: Harry, Helen and Karen Cooper; and a young couple, Tom and Judy. Dissensions sets in almost immediately with Harry Cooper wanting to be in charge. As their situation deteriorates, their chances of surviving the night lessen minute by minute. —garykmcd","1,935"
9,Friday the 13th Part 2,6.1,1981,Steve Miner,Ron Kurz,Victor Miller,Betsy Palmer,Amy Steel,R,1h 27m,"Months after Alice beheaded psycho killer/mother Pamela Voorhees at Camp Crystal Lake, survivor Alice is still traumatized because of the murders. But there is one problem: Mrs. Voorhees' son Jason never drowned and died, so he saw Alice behead Mrs. Voorhees. Jason finds Alice soon and murders her. Five years later, a camp counselor-in-training program begins at Packanack Lodge, right near Camp Crystal Lake. As teenagers in the program start snooping around Camp Crystal Lake, they start getting killed violently one by one.","2,461"
